#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2014-09-01 00:57:00
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra140831.ibl 100724 USER-1A7617C508 132273000 2014-08-31 03:04:45 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 1705 387 0 /install/images/but_back.gif - -
d:\iislog\W3SVC\ra140831.ibl 100725 USER-1A7617C508 132273000 2014-08-31 03:04:45 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 879 390 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 100726 USER-1A7617C508 132273000 2014-08-31 03:04:45 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 3722 387 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 100728 USER-1A7617C508 132273000 2014-08-31 03:04:45 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1461 174 0 /favicon.ico - -
d:\iislog\W3SVC\ra140831.ibl 102693 USER-1A7617C508 132273000 2014-08-31 03:07:50 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 847 406 0 /install/index.php step=10&dbhost=localhost&dbuser=root&dbpwd=&dbname= -
d:\iislog\W3SVC\ra140831.ibl 105669 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 10770 371 0 /install/index.php step=3 -
d:\iislog\W3SVC\ra140831.ibl 105670 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 46 8292 363 0 /include/dedeajax2.js - -
d:\iislog\W3SVC\ra140831.ibl 105671 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 46 5000 340 0 /install/style.css - -
d:\iislog\W3SVC\ra140831.ibl 105672 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 2713 343 0 /install/tablebox.css - -
d:\iislog\W3SVC\ra140831.ibl 105673 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 560 385 0 /install/images/top-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 105674 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 3722 387 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 105675 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 653 391 0 /install/images/ico-step-now.png - -
d:\iislog\W3SVC\ra140831.ibl 105676 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 879 390 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 105677 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1827 387 0 /install/images/but_next.gif - -
d:\iislog\W3SVC\ra140831.ibl 105679 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 736 390 0 /install/images/leftbox-tbg.png - -
d:\iislog\W3SVC\ra140831.ibl 105680 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 655 395 0 /install/images/ico-step-succeed.png - -
d:\iislog\W3SVC\ra140831.ibl 105681 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 570 390 0 /install/images/boxtitle_bg.gif - -
d:\iislog\W3SVC\ra140831.ibl 105682 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 1705 387 0 /install/images/but_back.gif - -
d:\iislog\W3SVC\ra140831.ibl 105683 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 46 17110 387 0 /install/images/top-logo.png - -
d:\iislog\W3SVC\ra140831.ibl 105684 USER-1A7617C508 132273000 2014-08-31 03:12:24 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1461 174 0 /favicon.ico - -
d:\iislog\W3SVC\ra140831.ibl 106559 USER-1A7617C508 132273000 2014-08-31 03:13:49 183.36.68.160 112.121.182.140 80 POST HTTP/1.1 200 0 15 294 756 0 /install/index.php - -
d:\iislog\W3SVC\ra140831.ibl 107134 USER-1A7617C508 132273000 2014-08-31 03:14:50 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 847 406 0 /install/index.php step=10&dbhost=localhost&dbuser=root&dbpwd=15088373 -
d:\iislog\W3SVC\ra140831.ibl 107135 USER-1A7617C508 132273000 2014-08-31 03:14:50 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 847 430 0 /install/index.php step=10&dbhost=localhost&dbuser=root&dbpwd=15088373&dbname=dedecmsv57gbksp1 -
d:\iislog\W3SVC\ra140831.ibl 107202 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 10773 371 0 /install/index.php step=3 -
d:\iislog\W3SVC\ra140831.ibl 107203 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 8292 363 0 /include/dedeajax2.js - -
d:\iislog\W3SVC\ra140831.ibl 107204 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 5000 340 0 /install/style.css - -
d:\iislog\W3SVC\ra140831.ibl 107205 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 2713 343 0 /install/tablebox.css - -
d:\iislog\W3SVC\ra140831.ibl 107207 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 560 385 0 /install/images/top-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 107208 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 653 391 0 /install/images/ico-step-now.png - -
d:\iislog\W3SVC\ra140831.ibl 107209 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1827 387 0 /install/images/but_next.gif - -
d:\iislog\W3SVC\ra140831.ibl 107211 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 3722 387 0 /install/images/loading1.gif - -
d:\iislog\W3SVC\ra140831.ibl 107212 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1705 387 0 /install/images/but_back.gif - -
d:\iislog\W3SVC\ra140831.ibl 107213 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 570 390 0 /install/images/boxtitle_bg.gif - -
d:\iislog\W3SVC\ra140831.ibl 107214 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 736 390 0 /install/images/leftbox-tbg.png - -
d:\iislog\W3SVC\ra140831.ibl 107215 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 31 879 390 0 /install/images/step-ico-bg.png - -
d:\iislog\W3SVC\ra140831.ibl 107216 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 0 655 395 0 /install/images/ico-step-succeed.png - -
d:\iislog\W3SVC\ra140831.ibl 107217 USER-1A7617C508 132273000 2014-08-31 03:14:58 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 46 17110 387 0 /install/images/top-logo.png - -
d:\iislog\W3SVC\ra140831.ibl 107219 USER-1A7617C508 132273000 2014-08-31 03:14:59 183.36.68.160 112.121.182.140 80 GET HTTP/1.1 200 0 15 1461 174 0 /favicon.ico - -
